mid_price,mid_price_mkt,mid_price_vmap,mid_price_wt,imbalance,delta,timestamp
48872500.0,48871014.01251871,48888503.69057362,48870500.0,2110.4341698661447,0.36756585487409366,2023-11-15 01:49:53.225479
48872500.0,48871019.46421873,48888524.19809501,48870500.0,2176.7279040813446,1.0205001534280822,2023-11-15 01:49:54.225479
48873000.0,48871018.6833583,48888913.228424475,48871000.0,2783.981109663844,0.349650540326747,2023-11-15 01:49:55.225480
48873000.0,48871018.6833583,48888913.228424475,48871000.0,2783.981109663844,2.392980400415697,2023-11-15 01:49:56.225480
48874500.0,48871058.979323424,48889003.35285211,48874500.0,2622.8783923760056,2.464892676998594,2023-11-15 01:49:57.225481
48876500.0,48876378.07386826,48888954.641476646,48873500.0,1308.538218870759,0.10776717561321669,2023-11-15 01:49:58.225482
48876500.0,48876378.07386826,48888706.19307021,48875500.0,2922.4987353011966,1.9157991617785215,2023-11-15 01:49:59.225482
48876500.0,48877547.74554525,48888736.91675127,48875500.0,3279.137030221522,1.3883014144681107,2023-11-15 01:50:00.225483
48876500.0,48877242.443625726,48889193.17034985,48880000.0,6759.177196137607,-0.20171371530863502,2023-11-15 01:50:01.225483
48876500.0,48877242.443625726,48889074.92856932,48879500.0,5590.477716334164,0.6851669933675291,2023-11-15 01:50:02.225483
48882000.0,48885590.81022831,48889188.2376246,48882000.0,3465.4678241312504,2.817995938851291,2023-11-15 01:50:03.225483
48876500.0,48876153.13832383,48888664.883797236,48880000.0,5740.127390854061,-17.04513019881804,2023-11-15 01:50:04.225484
48859500.0,48859731.77170234,48882290.393424615,48871500.0,14870.797052405775,-8.338784362976693,2023-11-15 01:50:05.225484
48859500.0,48859835.72998686,48882287.330488466,48871500.0,14996.680120110512,-1.9741633410482788,2023-11-15 01:50:06.225485
48859500.0,48859835.72998686,48882287.330488466,48871500.0,14996.680120110512,-0.022385125789780802,2023-11-15 01:50:07.225485
48859500.0,48859835.72998686,48882287.330488466,48871500.0,14996.680120110512,-0.0100582853827558,2023-11-15 01:50:08.225486
