type,transaction_date,price,units_traded,total,count,timestamp
1,2023-11-15 00:01:53,49102225,0.0190766,5401,11,2023-11-15 00:01:53.221843
0,0,0,0.0,0,0,2023-11-15 00:01:54.221843
1,2023-11-15 00:01:54,49101000,0.05469223,1964040,9,2023-11-15 00:01:55.221844
1,2023-11-15 00:01:55,49101000,0.00624283,306529,1,2023-11-15 00:01:56.221845
0,0,0,0.0,0,0,2023-11-15 00:01:57.221845
1,2023-11-15 00:01:57,49100999,0.23755973,439205,4,2023-11-15 00:01:58.221845
1,2023-11-15 00:01:58,49101000,0.00733903,360353,1,2023-11-15 00:01:59.221845
0,0,0,0.0,0,0,2023-11-15 00:02:00.221845
0,0,0,0.0,0,0,2023-11-15 00:02:01.221845
1,2023-11-15 00:02:01,49102000,0.00576736,283188,1,2023-11-15 00:02:02.221846
1,2023-11-15 00:02:02,49102000,0.00653964,291721,2,2023-11-15 00:02:03.221847
1,2023-11-15 00:02:03,49102000,0.03616093,1775573,1,2023-11-15 00:02:04.221847
0,0,0,0.0,0,0,2023-11-15 00:02:05.221848
0,0,0,0.0,0,0,2023-11-15 00:02:06.221849
0,0,0,0.0,0,0,2023-11-15 00:02:07.221850
0,0,0,0.0,0,0,2023-11-15 00:02:08.221852
1,2023-11-15 00:02:08,49102000,0.11055743,5428590,1,2023-11-15 00:02:09.221853
0,0,0,0.0,0,0,2023-11-15 00:02:10.221854
1,2023-11-15 00:02:10,49102500,0.004,98204,2,2023-11-15 00:02:11.221855
0,0,0,0.0,0,0,2023-11-15 00:02:12.221855
0,0,0,0.0,0,0,2023-11-15 00:02:13.221856
0,0,0,0.0,0,0,2023-11-15 00:02:14.221856
1,2023-11-15 00:02:13,49103000,0.05527871,2714350,1,2023-11-15 00:02:15.221856
0,2023-11-15 00:02:15,49104000,0.0002851,13999,1,2023-11-15 00:02:16.221856
1,2023-11-15 00:02:15,49102406,0.02537097,738969,2,2023-11-15 00:02:16.221856
1,2023-11-15 00:02:17,49102002,0.08537708,199991,5,2023-11-15 00:02:17.221856
0,0,0,0.0,0,0,2023-11-15 00:02:18.221857
1,2023-11-15 00:02:18,49102000,0.0331,1625276,1,2023-11-15 00:02:19.221858
0,0,0,0.0,0,0,2023-11-15 00:02:20.221858
0,0,0,0.0,0,0,2023-11-15 00:02:21.221859
1,2023-11-15 00:02:22,49103000,0.0007,34372,1,2023-11-15 00:02:22.221859
0,0,0,0.0,0,0,2023-11-15 00:02:23.221859
0,0,0,0.0,0,0,2023-11-15 00:02:24.221859
0,2023-11-15 00:02:24,49103999,0.00033598,16497,1,2023-11-15 00:02:25.221860
1,2023-11-15 00:02:25,49103000,0.0013,63833,1,2023-11-15 00:02:25.221860
0,0,0,0.0,0,0,2023-11-15 00:02:26.221860
0,2023-11-15 00:02:26,49103000,0.00203649,99997,1,2023-11-15 00:02:27.221861
0,2023-11-15 00:02:28,49103000,0.00061258,30079,1,2023-11-15 00:02:28.221862
1,2023-11-15 00:02:27,49102000,0.01822714,894989,1,2023-11-15 00:02:28.221862
0,2023-11-15 00:02:28,49102999,0.24889579,9220063,3,2023-11-15 00:02:29.221863
0,2023-11-15 00:02:29,49103000,0.002,98206,1,2023-11-15 00:02:30.221864
1,2023-11-15 00:02:29,49102000,0.00434958,213573,1,2023-11-15 00:02:30.221864
0,0,0,0.0,0,0,2023-11-15 00:02:31.221864
0,0,0,0.0,0,0,2023-11-15 00:02:32.221865
0,2023-11-15 00:02:33,49103790,0.033,34629,3,2023-11-15 00:02:33.221866
1,2023-11-15 00:02:33,49102000,0.00073032,35860,1,2023-11-15 00:02:34.221866
0,0,0,0.0,0,0,2023-11-15 00:02:35.221866
0,0,0,0.0,0,0,2023-11-15 00:02:36.221867
0,2023-11-15 00:02:35,49103000,0.025,1227575,1,2023-11-15 00:02:37.221867
1,2023-11-15 00:02:37,49102000,0.0137689999999999,274527,3,2023-11-15 00:02:37.221867
0,2023-11-15 00:02:37,49103000,0.04093435,9999,2,2023-11-15 00:02:38.221867
0,0,0,0.0,0,0,2023-11-15 00:02:39.221867
0,0,0,0.0,0,0,2023-11-15 00:02:40.221867
0,2023-11-15 00:02:40,49104000,0.00020365,10000,1,2023-11-15 00:02:41.221867
1,2023-11-15 00:02:40,49101999,0.10081295,2602598,2,2023-11-15 00:02:41.221867
0,0,0,0.0,0,0,2023-11-15 00:02:42.221867
0,0,0,0.0,0,0,2023-11-15 00:02:43.221867
1,2023-11-15 00:02:43,49102000,0.00155997,76597,1,2023-11-15 00:02:44.221867
0,2023-11-15 00:02:44,49104000,0.00035244,17306,1,2023-11-15 00:02:45.221867
0,2023-11-15 00:02:45,49104000,0.00145981,71682,1,2023-11-15 00:02:46.221867
1,2023-11-15 00:02:45,49102000,0.00199604,98009,1,2023-11-15 00:02:46.221867
0,2023-11-15 00:02:47,49104000,0.00020364,9999,1,2023-11-15 00:02:47.221868
0,2023-11-15 00:02:47,49104000,0.05,1590182,2,2023-11-15 00:02:48.221869
0,0,0,0.0,0,0,2023-11-15 00:02:49.221870
0,2023-11-15 00:02:49,49104000,0.03271181,1606280,1,2023-11-15 00:02:50.221871
0,0,0,0.0,0,0,2023-11-15 00:02:51.221873
0,2023-11-15 00:02:52,49104000,0.02036493,999999,1,2023-11-15 00:02:52.221874
0,0,0,0.0,0,0,2023-11-15 00:02:53.221874
0,2023-11-15 00:02:53,49104000,0.00407282,199991,1,2023-11-15 00:02:54.221874
0,0,0,0.0,0,0,2023-11-15 00:02:55.221874
0,0,0,0.0,0,0,2023-11-15 00:02:56.221875
0,0,0,0.0,0,0,2023-11-15 00:02:57.221876
0,2023-11-15 00:02:58,49104000,0.00406875,199791,1,2023-11-15 00:02:58.221876
0,0,0,0.0,0,0,2023-11-15 00:02:59.221876
0,0,0,0.0,0,0,2023-11-15 00:03:00.221877
0,0,0,0.0,0,0,2023-11-15 00:03:01.221877
0,2023-11-15 00:03:01,49104000,0.166,858996,2,2023-11-15 00:03:02.221878
0,2023-11-15 00:03:02,49132928,0.3,2455750,8,2023-11-15 00:03:03.221879
1,2023-11-15 00:03:03,49107000,0.0015885,78006,1,2023-11-15 00:03:03.221879
0,0,0,0.0,0,0,2023-11-15 00:03:04.221880
0,0,0,0.0,0,0,2023-11-15 00:03:05.221880
0,0,0,0.0,0,0,2023-11-15 00:03:06.221880
0,0,0,0.0,0,0,2023-11-15 00:03:07.221881
0,0,0,0.0,0,0,2023-11-15 00:03:08.221882
0,0,0,0.0,0,0,2023-11-15 00:03:09.221883
